object,time,x,y
Agent 0,93,15.011928570712714,4.714482694647124
Agent 1,93,42.66182858677942,20.276578678131678
Agent 0,94,13.451356582218066,5.965328436026078
Agent 1,94,42.43967151213269,19.30156778886715
Agent 0,95,11.632371429644454,6.796768761435395
Agent 1,95,42.494869849202736,18.303092379262736
Agent 0,96,9.813386277070842,7.628209086844712
Agent 1,96,42.22198910586889,17.341044511473626
Agent 0,97,7.886729927639935,8.164861032893146
Agent 1,97,41.755050462650786,16.456754794542782
Agent 0,98,5.893073663184147,8.324029808713625
Agent 1,98,41.48216971931694,15.494706926753674
Agent 0,99,3.9208763355947647,8.656351491799906
Agent 1,99,41.2092889759831,14.532659058964565
